season,player_id,player_name,goals,bigChancesMissed,successfulDribbles,successfulDribblesPercentage,totalShots,shotsOnTarget,shotsOffTarget,blockedShots,goalConversionPercentage,penaltiesTaken,penaltyGoals,penaltyWon,goalsFromInsideTheBox,goalsFromOutsideTheBox,headedGoals,leftFootGoals,rightFootGoals,hitWoodwork,offsides,penaltyConversion,setPieceConversion,rating,tackles,interceptions,clearances,ownGoals,dribbledPast,bigChancesCreated,assists,accuratePasses,inaccuratePasses,totalPasses,accuratePassesPercentage,accurateOwnHalfPasses,accurateOppositionHalfPasses,accurateFinalThirdPasses,keyPasses,accurateCrosses,accurateCrossesPercentage,accurateLongBalls,accurateLongBallsPercentage,saves,savedShotsFromOutsideTheBox,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,punches,runsOut,successfulRunsOut,highClaims,crossesNotClaimed,yellowCards,redCards,groundDuelsWon,groundDuelsWonPercentage,aerialDuelsWon,aerialDuelsWonPercentage,totalDuelsWon,totalDuelsWonPercentage,minutesPlayed,wasFouled,fouls,dispossessed,possessionLost,appearances,player_slug,player_userCount,team_name,team_slug
2021,3306,Karim Benzema,27,18,36,70.59,128,59,40,29,21.09,11,7,0,27,0,3,3,20,2,31,63.64,0,7.73,11,4,13,0,7,15,12,1039,181,1220,85.16,197,844,593,63,2,20,31,64.58,0,0,20,3,0,0,0,0,0,0,0,56,49.56,18,37.5,74,45.96,2597,9,13,24,276,32,karim-benzema,160479,Real Madrid,real-madrid
2021,990802,Kike Hermoso,1,0,1,100,2,1,1,0,50,0,0,0,1,0,0,0,1,0,0,0,0,7.7,2,0,5,0,0,0,0,50,10,60,83.33,47,3,0,0,0,0,2,33.33,0,0,1,0,0,0,0,0,0,0,0,3,75,6,75,9,75,90,0,1,0,11,1,kike-hermoso,29,Real Betis,real-betis
2021,818244,Ousmane Dembélé,1,4,59,65.56,46,8,29,9,2.17,0,0,0,1,0,0,1,0,2,4,0,0,7.53,24,8,2,0,16,13,13,562,104,666,84.38,111,480,285,46,29,20.14,24,70.59,0,0,14,0,0,0,0,0,0,3,0,100,54.35,4,44.44,104,53.89,1411,17,11,28,333,21,ousmane-dembele,73366,Barcelona,barcelona
2021,26502,Toni Kroos,1,1,9,52.94,46,12,23,11,2.17,0,0,0,1,0,0,0,1,0,0,0,0,7.44,34,12,11,0,22,6,3,2039,110,2149,94.88,821,1239,623,51,21,24.14,217,86.8,0,0,16,2,0,0,0,0,0,4,0,81,57.45,9,47.37,90,56.25,2108,39,20,11,219,28,toni-kroos,49238,Real Madrid,real-madrid
2021,39182,Dani Parejo,2,0,25,75.76,16,6,5,5,12.5,1,1,0,2,0,0,1,1,0,0,100,0,7.41,43,29,15,0,32,11,10,1744,246,1990,87.64,700,1096,537,67,52,36.36,139,69.85,0,0,29,3,0,0,0,0,0,3,0,123,61.19,17,48.57,140,59.32,2708,56,16,23,408,33,dani-parejo,2201,Villarreal,villarreal
2021,146866,Gerard Moreno,9,5,39,63.93,38,17,12,9,23.68,2,1,1,8,1,2,7,0,0,8,50,0,7.41,5,6,13,0,6,7,3,300,132,432,69.44,83,221,135,30,4,33.33,30,69.77,0,0,10,4,0,0,0,0,0,2,0,58,46.77,18,50,76,47.5,1194,14,11,29,227,17,gerard-moreno,4107,Villarreal,villarreal
2021,868812,Vinícius Júnior,17,11,95,45.45,80,43,19,18,21.25,0,0,4,16,1,2,5,10,0,26,0,0,7.35,46,6,0,0,35,13,10,1056,174,1230,85.85,176,890,629,68,10,22.73,42,80.77,0,0,19,3,0,0,0,0,0,6,0,215,47.46,3,27.27,218,46.98,2699,74,34,59,498,35,vinicius-junior,167278,Real Madrid,real-madrid
2021,122951,Casemiro,1,3,19,70.37,41,9,19,13,2.44,0,0,1,1,0,1,0,0,1,4,0,0,7.34,79,38,59,0,37,7,3,1688,274,1962,86.03,840,852,381,27,4,23.53,175,76.09,0,0,22,1,0,0,0,0,0,11,0,136,55.51,101,66.45,237,59.7,2575,38,54,14,349,32,casemiro,62843,Real Madrid,real-madrid
2021,19356,Iago Aspas,18,10,51,61.45,90,41,24,25,20,5,3,0,15,3,0,14,4,1,20,60,0,7.34,14,11,18,0,20,8,6,934,303,1237,75.51,254,696,401,57,16,14.81,48,64,0,0,36,3,0,0,0,0,0,8,0,115,53.49,22,40,137,50.74,3093,50,22,32,535,37,iago-aspas,4687,Celta Vigo,celta-vigo
2021,71707,Iker Muniain,4,8,65,62.5,41,21,10,10,9.76,3,1,2,3,1,0,0,4,0,5,33.33,16.67,7.32,32,17,3,0,28,15,10,1164,209,1373,84.78,291,926,580,107,53,30.64,52,71.23,0,0,25,2,0,0,0,0,0,3,0,178,56.51,5,35.71,183,55.62,2802,81,15,56,514,35,iker-muniain,1223,Athletic Club,athletic-club
2021,35199,Jordi Alba,2,1,6,27.27,31,6,16,9,6.45,0,0,0,2,0,0,2,0,2,11,0,0,7.3,47,33,33,0,20,11,10,2071,321,2392,86.58,799,1295,640,60,23,19.01,98,54.14,0,0,28,4,0,0,0,0,0,11,0,71,52.99,14,36.84,85,49.42,2648,19,26,4,509,30,jordi-alba,13670,Barcelona,barcelona
2021,1019236,Jofre,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7.3,1,0,0,0,0,1,1,4,1,5,80,1,5,3,2,2,66.67,0,0,0,0,0,0,0,0,0,0,0,0,0,5,83.33,1,100,6,85.71,17,4,0,0,5,3,jofre,23,Espanyol,espanyol
2021,1094758,John Nwankwo,0,1,1,100,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7.3,7,3,3,0,3,0,0,74,10,84,88.1,44,30,10,2,0,0,1,16.67,0,0,2,0,0,0,0,0,0,0,0,8,61.54,2,33.33,10,52.63,180,0,2,0,14,2,john-nwankwo,46,Elche,elche
2021,4419,Dani Alves,1,0,12,100,5,2,3,0,20,0,0,0,1,0,0,0,1,0,0,0,0,7.29,30,11,8,0,12,3,3,806,110,916,87.99,331,498,199,22,23,30.67,39,52.7,0,0,10,0,0,0,0,0,0,2,1,48,51.61,9,52.94,57,51.82,1107,6,27,6,192,14,dani-alves,11814,Barcelona,barcelona
2021,138833,Memphis Depay,12,9,45,60.81,61,34,18,9,19.67,5,4,3,11,1,1,1,10,1,13,80,0,7.26,10,3,4,0,10,5,2,664,145,809,82.08,149,552,335,45,37,29.6,17,62.96,0,0,18,3,0,0,0,0,0,3,0,99,51.83,10,40,109,50.46,1847,44,23,34,392,28,memphis-depay,32996,Barcelona,barcelona
2021,337671,Nabil Fekir,6,3,82,66.67,84,32,23,29,7.14,0,0,0,4,2,0,5,1,5,9,0,9.09,7.26,43,7,4,0,29,12,8,1140,178,1318,86.49,265,935,564,86,60,34.68,45,72.58,0,0,29,3,0,0,0,0,0,7,1,217,50.12,26,35.14,243,47.93,2807,92,65,82,529,34,nabil-fekir,4922,Real Betis,real-betis
2021,39433,Sergio Busquets,2,0,21,80.77,14,4,6,4,14.29,0,0,0,1,1,0,1,1,0,2,0,0,7.26,93,45,30,0,37,2,0,2425,344,2769,87.58,1016,1411,579,33,2,66.67,202,71.13,0,0,32,4,0,0,0,0,0,12,0,178,63.12,60,46.51,238,57.91,3202,67,53,15,403,36,sergio-busquets,16400,Barcelona,barcelona
2021,1089108,Ilias Akhomach,0,0,1,33.33,4,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,7.25,2,0,0,0,0,1,0,43,6,49,87.76,5,40,23,4,2,33.33,0,0,0,0,0,0,0,0,0,0,0,0,0,7,53.85,1,33.33,8,50,125,4,3,1,14,2,ilias-akhomach,2814,Barcelona,barcelona
2021,992587,Pedri,3,0,15,78.95,12,5,4,3,25,0,0,0,2,1,0,0,3,0,0,0,0,7.23,20,5,5,0,13,1,1,501,78,579,86.53,159,349,192,15,7,38.89,36,85.71,0,0,7,2,0,0,0,0,0,0,0,52,59.77,4,57.14,56,59.57,888,17,1,17,129,12,pedri,53378,Barcelona,barcelona
2021,310874,Vedat Muriqi,5,1,9,40.91,51,18,19,14,9.8,2,2,0,5,0,2,3,0,2,7,100,0,7.21,6,6,29,0,6,3,3,244,206,450,54.22,97,148,96,14,1,14.29,8,50,0,0,25,3,0,0,0,0,0,6,0,31,36.9,116,53.46,147,48.84,1439,16,27,14,282,16,vedat-muriqi,3634,Mallorca,mallorca
2021,69418,Joselu,14,8,18,35.29,97,41,32,24,14.43,7,6,2,12,2,1,2,11,1,11,85.71,0,7.21,16,7,45,0,18,3,4,643,409,1052,61.12,180,467,267,35,4,12.9,22,44.9,0,0,52,6,0,0,0,0,0,0,0,88,42.72,284,67.46,372,59.33,3126,57,43,34,598,37,joselu,8180,Deportivo Alavés,deportivo-alaves
2021,908716,Miguel Gutiérrez,0,0,6,66.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.2,7,2,2,0,2,1,1,142,9,151,94.04,81,63,39,3,2,22.22,13,81.25,0,0,2,1,0,0,0,0,0,1,0,21,67.74,2,50,23,65.71,262,8,3,2,23,3,miguel-gutierrez,1999,Real Madrid,real-madrid
2021,857574,Andriy Lunin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.2,0,0,3,0,0,0,0,57,10,67,85.07,56,1,0,0,0,0,12,63.16,7,1,2,0,1,0,0,3,0,0,0,0,0,0,0,0,0,180,0,1,0,10,2,andriy-lunin,7248,Real Madrid,real-madrid
2021,15466,Luka Modrić,2,1,32,66.67,27,11,4,12,7.41,1,1,0,1,1,0,1,1,2,1,100,0,7.19,18,20,9,0,21,10,8,1477,162,1639,90.12,534,954,563,38,11,22.92,106,79.7,0,0,18,2,0,0,0,0,0,5,0,82,50.62,6,30,88,48.35,2049,32,24,22,277,28,luka-modric,94765,Real Madrid,real-madrid
2021,851671,João Félix,8,4,31,59.62,39,15,17,7,20.51,0,0,0,7,1,1,1,6,2,9,0,0,7.15,5,7,8,0,4,7,4,315,105,420,75,95,223,144,19,3,16.67,24,60,0,0,19,3,0,0,0,0,0,1,1,93,62.84,19,48.72,112,59.89,1272,57,15,19,197,24,joao-felix,58372,Atlético Madrid,atletico-madrid
2021,832427,Carlos Soler,11,2,19,50,41,21,15,5,26.83,7,7,0,11,0,1,0,10,1,2,100,0,7.15,29,14,25,0,26,5,5,614,211,825,74.42,222,435,243,54,43,29.25,54,43.55,0,0,27,6,0,0,0,0,0,4,0,94,54.34,12,41.38,106,52.48,2480,46,21,13,399,32,carlos-soler,3375,Valencia,valencia
2021,827212,Jules Koundé,2,0,24,61.54,13,3,7,3,15.38,0,0,1,2,0,1,0,1,0,2,0,0,7.14,40,21,98,0,10,4,1,1865,234,2099,88.85,1235,635,234,17,5,27.78,126,58.6,0,0,20,5,0,0,0,0,0,2,2,92,64.34,77,60.63,169,62.59,2737,28,15,12,316,32,jules-kounde,18435,Sevilla,sevilla
2021,822519,Éder Militão,1,1,11,55,33,8,18,7,3.03,0,0,1,1,0,1,0,0,1,1,0,0,7.14,50,52,105,0,19,2,2,1779,214,1993,89.26,1197,583,184,12,1,9.09,129,56.58,0,0,28,2,0,0,0,0,0,5,0,100,59.88,83,66.94,183,62.89,3033,39,38,7,268,34,eder-militao,17893,Real Madrid,real-madrid
2021,259339,Rubén Alcaraz,2,0,11,64.71,23,6,11,6,8.7,0,0,0,1,1,1,1,0,0,1,0,0,7.14,41,13,13,0,23,0,0,548,93,641,85.49,230,324,156,14,6,26.09,59,61.46,0,0,10,2,0,0,0,0,0,7,0,87,55.77,22,48.89,109,54.23,1105,35,30,11,150,14,ruben-alcaraz,363,Cádiz,cadiz
2021,51498,Pierre-Emerick Aubameyang,11,7,4,66.67,37,20,11,6,29.73,0,0,0,10,1,3,3,4,0,7,0,0,7.14,2,2,3,0,5,3,1,176,57,233,75.54,70,106,49,8,0,0,5,83.33,0,0,10,0,0,0,0,0,0,0,0,13,38.24,7,35,20,37.04,1092,7,7,8,101,17,pierre-emerick-aubameyang,41744,Barcelona,barcelona
2021,116955,Saúl Ñíguez,0,0,1,50,4,0,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,7.13,7,0,2,0,1,0,1,79,12,91,86.81,46,33,14,1,0,0,7,70,0,0,2,0,0,0,0,0,0,0,0,10,66.67,6,66.67,16,66.67,200,2,2,1,26,3,saul-niguez,3812,Atlético Madrid,atletico-madrid
2021,134029,Mathew Ryan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.13,0,0,5,0,0,0,0,53,40,93,56.99,41,12,5,0,0,0,17,29.82,10,2,5,0,3,3,3,2,0,0,0,0,0,1,100,1,100,270,0,0,0,40,3,mathew-ryan,952,Real Sociedad,real-sociedad
2021,66471,Martin Braithwaite,2,1,2,66.67,7,3,1,3,28.57,0,0,0,2,0,1,0,1,0,2,0,0,7.13,1,1,1,0,0,2,1,44,10,54,81.48,18,26,15,2,0,0,1,100,0,0,3,1,0,0,0,0,0,0,0,5,31.25,3,33.33,8,32,237,2,5,5,27,4,martin-braithwaite,5125,Barcelona,barcelona
2021,770,Gerard Piqué,1,1,6,100,19,3,11,5,5.26,0,0,0,1,0,1,0,0,3,1,0,0,7.11,22,34,85,0,3,1,0,1509,168,1677,89.98,967,542,134,5,0,0,118,62.43,0,0,15,4,0,0,0,0,0,8,1,43,56.58,80,64.52,123,61.5,2096,15,30,3,185,27,gerard-pique,11189,Barcelona,barcelona
2021,41560,Sergio Canales,5,2,29,50.88,54,25,15,14,9.26,0,0,0,2,3,0,5,0,1,11,0,33.33,7.11,24,10,11,0,25,8,7,1520,268,1788,85.01,549,986,551,65,15,22.39,105,62.87,0,0,27,4,0,0,0,0,0,7,0,92,45.54,11,29.73,103,43.1,2803,39,19,41,448,34,sergio-canales,1625,Real Betis,real-betis
2021,355048,Jesús Vallejo,0,0,2,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.1,7,6,15,0,1,0,0,181,28,209,86.6,140,41,6,1,0,0,7,35,0,0,2,0,0,0,0,0,0,1,0,10,58.82,11,73.33,21,65.63,345,1,4,0,33,5,jesus-vallejo,3190,Real Madrid,real-madrid
2021,124737,Gabriel Paulista,2,1,1,50,6,3,3,0,33.33,0,0,0,1,1,0,0,2,0,1,0,0,7.09,21,39,85,0,6,0,1,494,142,636,77.67,352,142,48,4,0,0,70,51.85,0,0,12,5,0,0,0,0,0,2,0,34,62.96,38,65.52,72,64.29,1596,12,11,3,157,19,gabriel-paulista,885,Valencia,valencia
2021,604232,Diego Carlos,3,1,2,50,30,10,16,4,10,0,0,0,3,0,3,0,0,0,1,0,0,7.09,35,24,119,0,8,1,0,1911,270,2181,87.62,1426,486,109,4,1,33.33,192,53.48,0,0,21,6,0,0,0,0,0,2,1,56,58.33,80,64.52,136,61.82,2959,19,33,2,297,34,diego-carlos,1400,Sevilla,sevilla
2021,138387,Raúl de Tomás,17,13,50,69.44,106,45,41,20,16.04,5,5,1,16,1,2,5,10,7,31,100,11.11,7.09,15,6,38,0,11,2,3,604,116,720,83.89,197,412,240,25,5,22.73,61,72.62,0,0,43,1,0,0,0,0,0,5,2,119,48.77,35,48.61,154,48.73,2924,55,35,60,313,34,raul-de-tomas,1747,Espanyol,espanyol
2021,578560,Marcos Acuña,1,2,44,66.67,16,6,4,6,6.25,0,0,0,0,1,0,1,0,0,0,0,0,7.09,50,14,20,0,17,4,3,1304,245,1549,84.18,743,607,308,43,46,25.84,114,55.61,0,0,9,4,0,0,0,0,0,10,0,142,57.96,22,40.74,164,54.85,2264,48,38,27,513,31,marcos-acuna,7066,Sevilla,sevilla
2021,182001,Yannick Carrasco,6,3,88,64.71,50,12,21,17,12,2,2,0,6,0,0,2,4,3,13,100,0,7.09,34,19,12,0,25,10,6,824,198,1022,80.63,274,592,349,54,42,31.58,25,42.37,0,0,28,6,0,0,0,0,0,5,0,160,51.95,9,39.13,169,51.06,2589,39,30,52,494,34,yannick-carrasco,5735,Atlético Madrid,atletico-madrid
2021,864169,Pau Torres,5,3,25,89.29,24,9,11,4,20.83,0,0,0,5,0,2,3,0,1,0,0,0,7.09,32,19,103,0,7,4,1,1697,282,1979,85.75,1111,587,219,9,1,20,139,49.64,0,0,30,3,0,0,0,0,0,5,0,73,71.57,58,59.79,131,65.83,2856,16,14,5,326,33,pau-torres,3204,Villarreal,villarreal
2021,798835,Giovani Lo Celso,1,1,26,65,18,6,7,5,5.56,0,0,0,1,0,0,1,0,0,3,0,0,7.09,22,5,3,0,13,3,1,430,83,513,83.82,139,294,175,17,3,20,25,83.33,0,0,10,0,0,0,0,0,0,2,0,90,60,3,33.33,93,58.49,997,42,16,17,161,16,lo-celso-giovani,8933,Villarreal,villarreal
2021,11781,David Silva,2,1,29,65.91,21,6,10,5,9.52,0,0,2,2,0,1,1,0,1,3,0,0,7.08,28,7,12,0,17,8,4,895,121,1016,88.09,304,605,366,40,14,46.67,27,71.05,0,0,9,2,0,0,0,0,0,4,1,82,51.25,15,55.56,97,51.87,1732,25,23,28,226,25,david-silva,4499,Real Sociedad,real-sociedad
2021,7635,Ivan Rakitić,4,1,8,38.1,31,12,13,6,12.9,2,1,0,2,2,0,0,4,0,0,50,25,7.08,40,23,34,0,27,4,6,1336,220,1556,85.86,670,695,322,42,29,34.94,117,63.93,0,0,14,5,0,0,0,0,0,5,0,82,48.24,38,55.88,120,50.42,2185,35,36,12,337,35,ivan-rakitic,12375,Sevilla,sevilla
2021,173883,Iñigo Martínez,3,2,2,100,27,9,10,8,11.11,0,0,0,3,0,3,0,0,0,2,0,0,7.08,28,39,137,0,9,1,0,945,248,1193,79.21,608,340,92,4,3,27.27,121,45.32,0,0,17,1,0,0,0,0,0,7,2,54,57.45,72,59.5,126,58.6,2344,27,33,3,271,27,inigo-martinez,3949,Athletic Club,athletic-club
2021,280979,Gonçalo Guedes,11,5,64,51.61,69,28,22,19,15.94,2,1,1,8,3,3,2,6,2,5,50,0,7.08,21,9,1,0,20,7,6,504,232,736,68.48,108,428,281,43,32,29.09,36,52.94,0,0,34,8,0,0,0,0,0,3,0,159,50.32,16,35.56,175,48.48,2620,74,37,46,526,36,goncalo-guedes,3595,Valencia,valencia
2021,795222,Frenkie de Jong,3,6,51,85,17,8,9,0,17.65,0,0,0,3,0,0,1,2,2,6,0,0,7.08,35,20,15,0,11,3,3,1496,142,1638,91.33,558,943,450,43,5,16.13,75,83.33,0,0,26,4,0,0,0,0,0,5,1,120,63.49,26,61.9,146,63.2,2486,35,24,28,255,32,frenkie-de-jong,44281,Barcelona,barcelona
2021,249399,Rodrigo de Paul,3,0,25,65.79,24,9,8,7,12.5,0,0,0,2,1,0,0,3,0,1,0,0,7.07,55,21,13,0,30,7,1,1056,233,1289,81.92,427,662,314,51,33,35.87,102,57.3,0,0,20,4,0,0,0,0,0,7,0,138,54.98,18,45,156,53.61,2154,59,44,31,381,36,rodrigo-de-paul,17746,Atlético Madrid,atletico-madrid
2021,138572,Daniel Carvajal,1,1,10,55.56,10,2,6,2,10,0,0,0,1,0,0,0,1,0,0,0,0,7.07,42,20,33,0,11,4,3,880,128,1008,87.3,421,468,242,25,9,22.5,43,67.19,0,0,11,2,0,0,0,0,0,1,0,63,57.8,14,50,77,56.2,1549,11,19,9,217,24,daniel-carvajal,13991,Real Madrid,real-madrid
2021,361004,Marco Asensio,10,6,27,67.5,64,34,13,17,15.63,0,0,0,7,3,0,8,2,0,2,0,0,7.07,12,12,6,0,14,1,0,703,99,802,87.66,167,549,334,32,13,18.31,28,71.79,0,0,11,2,0,0,0,0,0,2,0,59,49.58,0,0,59,46.09,1739,20,8,25,222,31,marco-asensio,18695,Real Madrid,real-madrid
2021,17787,Marcelo,0,1,9,90,8,3,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,7.07,8,1,10,0,5,1,2,343,57,400,85.75,117,232,121,9,6,20.69,14,45.16,0,0,0,0,0,0,0,0,0,0,0,25,73.53,3,42.86,28,68.29,524,8,3,1,90,12,marcelo,32482,Real Madrid,real-madrid
2021,811629,Luis Milla,3,1,28,73.68,22,6,9,7,13.64,3,3,0,3,0,0,0,3,1,1,100,0,7.07,59,25,30,0,39,9,3,1106,217,1323,83.6,506,642,320,42,42,31.82,91,54.17,0,0,40,5,0,0,0,0,0,4,0,150,61.22,31,50.82,181,59.15,2785,64,26,23,381,34,luis-milla,505,Granada,granada
2021,925097,Ronald Araújo,4,0,6,75,18,10,5,3,22.22,0,0,0,4,0,3,0,1,1,1,0,0,7.07,41,23,59,0,4,2,0,1449,158,1607,90.17,980,472,107,8,3,42.86,85,51.52,0,0,25,4,0,0,0,0,0,6,0,59,62.11,60,70.59,119,66.11,2283,12,25,6,198,30,ronald-araujo,21306,Barcelona,barcelona
2021,94527,Marko Dmitrović,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.07,0,0,4,0,0,0,0,159,38,197,80.71,144,15,7,0,0,0,27,41.54,15,5,4,1,1,5,5,4,0,1,0,0,0,1,100,1,100,540,0,0,0,39,6,marko-dmitrovic,870,Sevilla,sevilla
2021,787751,Robin Le Normand,1,3,1,33.33,18,5,8,5,5.56,0,0,0,1,0,1,0,0,2,2,0,0,7.06,49,48,118,0,8,1,1,1895,258,2153,88.02,1455,440,101,5,0,0,127,56.7,0,0,32,5,0,0,0,0,0,7,0,70,59.83,109,61.58,179,60.88,3330,22,37,3,288,37,robin-le-normand,1086,Real Sociedad,real-sociedad
2021,84531,Yuri Berchiche,1,0,8,72.73,8,3,2,3,12.5,0,0,0,1,0,0,1,0,0,0,0,0,7.06,25,13,19,0,7,2,2,391,102,493,79.31,172,223,109,7,4,12.12,23,50,0,0,9,1,0,0,0,0,0,3,0,52,69.33,21,72.41,73,70.19,1023,19,7,7,170,14,yuri-berchiche,723,Athletic Club,athletic-club
2021,1014412,Julen Agirrezabala,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.05,0,0,4,0,0,0,0,50,20,70,71.43,40,10,2,0,0,0,15,42.86,15,7,5,0,2,1,0,1,0,0,0,0,0,0,0,0,0,360,0,0,0,20,4,julen-agirrezabala,326,Athletic Club,athletic-club
2021,609752,Guido Rodríguez,1,1,18,66.67,21,8,5,8,4.76,0,0,0,1,0,1,0,0,1,2,0,0,7.05,97,31,51,0,44,0,2,1241,210,1451,85.53,688,554,200,15,1,25,100,62.11,0,0,24,2,0,0,0,0,0,7,1,165,59.14,33,66,198,60.18,2533,50,47,17,265,32,guido-rodriguez,3829,Real Betis,real-betis
2021,325355,José María Giménez,1,3,8,66.67,20,7,11,2,5,0,0,0,1,0,1,0,0,0,2,0,0,7.04,18,25,94,0,8,1,1,819,104,923,88.73,617,202,44,5,0,0,75,59.52,0,0,21,1,0,0,0,0,0,8,0,46,65.71,42,63.64,88,64.71,2046,21,11,1,123,24,jose-maria-gimenez,3174,Atlético Madrid,atletico-madrid
2021,823622,Mikel Oyarzabal,9,5,22,51.16,42,18,11,13,21.43,5,4,0,8,1,2,6,1,0,5,80,20,7.04,18,10,14,0,14,5,3,382,129,511,74.76,127,281,143,39,26,23.64,13,50,0,0,19,3,0,0,0,0,0,0,1,66,46.15,22,38.6,88,44,1673,26,14,29,310,22,mikel-oyarzabal,3780,Real Sociedad,real-sociedad
2021,333595,Lucas Olaza,1,0,2,100,4,1,1,2,25,0,0,0,1,0,0,0,0,0,0,0,0,7.04,5,4,5,0,0,1,0,129,31,160,80.63,65,66,36,6,2,12.5,5,55.56,0,0,4,0,0,0,0,0,0,1,0,11,64.71,1,33.33,12,60,301,4,3,3,56,5,lucas-olaza,383,Elche,elche
2021,70988,Thibaut Courtois,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.04,1,0,14,0,1,0,0,750,197,947,79.2,715,35,14,0,0,0,110,36.79,93,40,26,3,5,7,7,19,0,1,0,2,50,8,88.89,10,76.92,3240,1,1,0,202,36,thibaut-courtois,25197,Real Madrid,real-madrid
2021,360938,Bono,0,0,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.03,0,0,23,0,0,1,2,706,248,954,74,618,88,19,2,0,0,186,43.56,76,30,18,6,12,8,8,24,0,2,0,4,100,7,87.5,11,91.67,2790,3,0,0,254,31,bono,12203,Sevilla,sevilla
2021,336655,Enes Ünal,16,6,25,52.08,86,28,34,24,18.6,4,2,0,14,2,4,1,11,2,14,50,0,7.03,37,5,36,0,37,1,1,389,244,633,61.45,102,290,159,29,3,21.43,9,60,0,0,34,1,0,0,0,0,0,8,0,129,41.61,146,46.79,275,44.21,2809,71,77,55,454,37,enes-unal,3519,Getafe,getafe
2021,592010,Mikel Merino,3,6,28,59.57,45,15,18,12,6.67,0,0,2,3,0,0,2,1,2,4,0,0,7.03,71,21,56,0,41,6,2,1341,387,1728,77.6,606,742,380,31,7,30.43,80,50.63,0,0,20,4,0,0,0,0,0,8,0,162,48.36,113,57.36,275,51.69,2894,67,60,56,540,34,mikel-merino,1790,Real Sociedad,real-sociedad
2021,345111,Álvaro García,7,4,22,44,68,24,32,12,10.29,0,0,0,7,0,0,3,4,4,11,0,0,7.03,42,42,15,0,27,9,4,579,246,825,70.18,195,426,244,43,42,21.65,28,35.44,0,0,38,6,0,0,0,0,0,6,0,89,50,5,17.86,94,45.63,3005,25,23,13,520,36,alvaro-garcia,647,Rayo Vallecano,rayo-vallecano
2021,99519,Marc Bartra,1,2,7,87.5,15,3,11,1,6.67,0,0,0,1,0,0,0,0,0,0,0,0,7.02,39,33,102,0,16,0,0,924,197,1121,82.43,652,272,77,4,0,0,82,42.49,0,0,22,2,0,0,0,0,0,5,0,60,60,61,62.89,121,61.42,1994,16,21,4,222,23,marc-bartra,925,Real Betis,real-betis
2021,66492,David Alaba,2,1,4,40,21,7,7,7,9.52,0,0,0,2,0,0,2,0,0,2,0,0,7.02,23,22,67,0,10,4,3,1750,139,1889,92.64,1059,697,287,22,6,15,53,48.62,0,0,23,3,0,0,0,0,0,2,0,33,48.53,14,38.89,47,45.19,2644,6,16,3,207,30,david-alaba,18036,Real Madrid,real-madrid
2021,96369,Juanmi,16,6,29,67.44,55,30,17,8,29.09,0,0,1,15,1,3,3,10,0,18,0,0,7.02,39,9,9,0,30,3,4,375,105,480,78.13,154,222,128,19,1,25,17,51.52,0,0,20,1,0,0,0,0,0,5,0,83,43.68,32,45.07,115,44.06,2145,15,40,29,226,33,juanmi,676,Real Betis,real-betis
2021,385888,Mauro Arambarri,0,0,32,64,37,8,21,8,0,0,0,0,0,0,0,0,0,2,0,0,0,7.01,62,32,13,0,48,3,5,887,256,1143,77.6,418,513,177,45,44,37.93,125,61.58,0,0,26,1,0,0,0,0,0,13,0,141,48.45,28,51.85,169,48.99,2667,48,51,36,431,31,mauro-arambarri,711,Getafe,getafe
2021,591136,David García,4,1,3,75,31,4,22,5,12.9,0,0,0,4,0,4,0,0,0,0,0,0,7.01,28,52,166,0,10,1,0,1169,292,1461,80.01,726,443,134,9,0,0,122,49.8,0,0,41,4,0,0,0,0,0,8,0,50,44.25,136,75.56,186,63.48,3105,21,53,3,313,35,david-garcia,616,Osasuna,osasuna
2021,21949,Óscar Trejo,3,2,82,64.57,23,9,6,8,13.04,3,3,0,3,0,0,0,3,0,4,100,0,7,42,13,11,0,35,7,9,753,163,916,82.21,236,554,279,60,37,31.36,36,62.07,0,0,19,2,0,0,0,0,0,13,0,192,49.1,25,45.45,217,48.65,2023,68,59,66,449,32,oscar-trejo,608,Rayo Vallecano,rayo-vallecano
